Preference,Work Type,Company Size,Salary
Hybrid,Intern,25000,12000
Remote,Intern,30000,15000
Onsite,Intern,20000,10000
Hybrid,Intern,45000,18000
Remote,Intern,15000,9500
Onsite,Intern,49000,11000
Hybrid,Intern,35000,14000
Remote,Intern,22000,12500
Onsite,Intern,41000,13500
Hybrid,Intern,28000,16000
Remote,Intern,26000,14500
Hybrid,Intern,33000,17000
Onsite,Intern,37000,9800
Remote,Intern,19000,11200
Hybrid,Intern,44000,15500
Onsite,Intern,21000,10800
Remote,Intern,47000,19000
Hybrid,Intern,29000,13200
Onsite,Intern,32000,10100
Remote,Intern,24000,12600
